epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.86298,2.7657,5.38688,0,6.24796,4.24231,0,0,0,0,0,0,0,0,2.40381,4.25538,0,5.44073,4.15798,3e-05,3e-05,3e-05
2,14.3763,3.36454,4.65967,0,6.01856,4.18403,0,0,0,0,0,0,0,0,2.40313,4.23585,0,5.44054,4.1568,6.6535e-05,6.6535e-05,6.6535e-05
3,19.8721,3.06306,4.81061,0,5.59738,4.1831,0,0,0,0,0,0,0,0,2.40274,4.23584,0,5.44229,4.15612,9.911e-05,9.911e-05,9.911e-05
4,25.3761,3.77566,5.50965,0,6.41699,4.32323,0,0,0,0,0,0,0,0,2.40162,4.23326,0,5.44402,4.1538,0.000127725,0.000127725,0.000127725
5,31.8146,3.96052,4.96273,0,5.93294,4.31561,0,0,0,0,0,0,0,0,2.40092,4.23202,0,5.44695,4.15213,0.00015238,0.00015238,0.00015238
6,37.3229,3.05475,4.47865,0,5.33296,4.26492,0,0,0,0,0,0,0,0,2.40015,4.23111,0,5.45026,4.15026,0.000173075,0.000173075,0.000173075
7,42.7513,3.23022,4.71662,0,6.05439,4.20626,0,0,0,0,0,0,0,0,2.40015,4.23111,0,5.45026,4.15026,0.00018981,0.00018981,0.00018981
8,48.1911,3.33562,4.58261,0,5.48346,4.19258,0,0,0,0,0,0,0,0,2.39906,4.23074,0,5.45607,4.14769,0.000202585,0.000202585,0.000202585
9,53.6689,3.05111,4.56695,0,5.71404,4.23232,0,0,0,0,0,0,0,0,2.3976,4.23166,0,5.46341,4.14445,0.0002114,0.0002114,0.0002114
10,59.0771,3.16914,4.89646,0,5.71385,4.2072,0,0,0,0,0,0,0,0,2.3976,4.23166,0,5.46341,4.14445,0.000216255,0.000216255,0.000216255
11,64.6289,2.70918,4.45727,0,6.24383,4.29271,0,0,0,0,0,0,0,0,2.39569,4.23443,0,5.474,4.14055,0.00021715,0.00021715,0.00021715
12,70.1347,3.04325,4.49251,0,6.51132,4.31973,0,0,0,0,0,0,0,0,2.39569,4.23443,0,5.474,4.14055,0.000214085,0.000214085,0.000214085
13,75.5739,2.51425,4.82674,0,6.30757,4.17823,0,0,0,0,0,0,0,0,2.39352,4.24077,0,5.48889,4.13667,0.00020706,0.00020706,0.00020706
14,80.9884,2.83392,4.16162,0,6.18795,4.31213,0,0,0,0,0,0,0,0,2.39352,4.24077,0,5.48889,4.13667,0.000196075,0.000196075,0.000196075
15,86.5219,2.7886,4.92952,0,6.38616,4.27166,0,0,0,0,0,0,0,0,2.39047,4.23775,0,5.51096,4.13228,0.00018113,0.00018113,0.00018113
16,92.0057,2.8081,4.24503,0,6.19147,4.18413,0,0,0,0,0,0,0,0,2.39047,4.23775,0,5.51096,4.13228,0.000162225,0.000162225,0.000162225
17,97.4787,2.46892,4.23055,0,6.27106,4.28898,0,0,0,0,0,0,0,0,2.39047,4.23775,0,5.51096,4.13228,0.00013936,0.00013936,0.00013936
18,102.996,2.87936,4.52172,0,6.14255,4.23909,0,0,0,0,0,0,0,0,2.38702,4.25733,0,5.53788,4.12929,0.000112535,0.000112535,0.000112535
19,108.45,2.57342,4.82185,0,6.68775,4.3312,0,0,0,0,0,0,0,0,2.38702,4.25733,0,5.53788,4.12929,8.175e-05,8.175e-05,8.175e-05
20,113.94,2.84642,4.35292,0,5.915,4.16283,0,0,0,0,0,0,0,0,2.38702,4.25733,0,5.53788,4.12929,4.7005e-05,4.7005e-05,4.7005e-05
